Compound,Reference Compound,PelePhysics Key,Weight %
C2-Benzene,ethyl benzene ,C2-BENZ,0.057556412
C3-Benzene,propyl benzene,C3-BENZ,0.087931343
C4-Benzene,butyl benzene,C4-BENZ,0.055032501
C5-Benzene,pentyl benzene,C5-BENZ,0.026794203
C07-Isoparaffin,2-methyl hexane,C7H16-2,0.199891503
C08-Isoparaffin,2-methyl heptane,C8H18-2,2.370108437
C09-Isoparaffin,2-methyl octane,C9H20-2,12.77270292
C10-Isoparaffin,2-methyl nonane,C10H22-2,13.57486711
C11-Isoparaffin,2-methyl decane,C11H24-2,12.23020367
C12-Isoparaffin,2-methyl undecane,C12H26-2,9.826870781
C13-Isoparaffin,2-methyl dodecane,C13H28-2,7.725886046
C14-Isoparaffin,2-methyl tridecane,C14H30-2,5.514863988
C15-Isoparaffin,2-methyl tetradecane,C15H32-2,6.842162663
C16-Isoparaffin,2-methyl pentadecane,C16H34-2,3.510088296
C17-Isoparaffin,2-methyl hexadecane,C17H36-2,0.133370244
n-C07,n-heptane,NC7H16,0.148235261
n-C08,n-octane,NC8H18,1.487407628
n-C09,n-nonane,NC9H20,2.972384727
n-C10,n-decane,NC10H22,2.700025728
n-C11,n-undecane,NC11H24,2.274630182
n-C12,n-dodecane,NC12H26,1.769651957
n-C13,n-tridecane,NC13H28,2.68987968
n-C14,n-tetradecane,NC14H30,3.014507942
n-C15,n-pentadecane,NC15H32,2.491315435
n-C16,n-hexadecane (cetane),NC16H34,0.960304858
C05-Monocycloparaffin,cycopentane,C5-CYCLO,0.940382227
C07-Monocycloparaffin,methyl cyclohexane,C7-CYCLO,0.075019973
C08-Monocycloparaffin,ethyl cyclohexane,C8-CYCLO,0.382113294
C09-Monocycloparaffin,propyl cyclohexane,C9-CYCLO,1.884099028
C10-Monocycloparaffin,butyl cyclohexane,C10-CYCLO,0.844267369
C11-Monocycloparaffin,pentyl cyclohexane,C11-CYCLO,0.327108201
C12-Monocycloparaffin,hexyl cyclohexane,C12-CYCLO,0.110336399
