Compound,Reference Compound,PelePhysics Key,Weight %
Toluene,toluene,C6H5CH3,0.026243851
C2-Benzene,ethyl benzene ,C6H5C2H5,0.563849082
C3-Benzene,propyl benzene,C6H5C3H7,2.170825974
C4-Benzene,butyl benzene,C6H5C4H9,1.868676471
C5-Benzene,pentyl benzene,C6H5C5H11,1.243556866
C6-Benzene,hexyl benzene,C6H5C6H13,0.815117038
C7-Benzene,heptyl benzene,C6H5C7H15,0.343926707
C8-Benzene,octyl benzene,C6H5C8H17,0.177068058
C9-Benzene,nonyl benzene,C6H5C9H19,0.092682255
Diaromatic-C10,naphthalene,NAPH,0.158282571
Diaromatic-C11,1-methyl naphthalene,METHYLNAPH-1,0.563748085
Diaromatic-C12,1-ethyl naphthalene,ETHYLNAPH-1,0.723177759
Diaromatic-C13,1-propyl naphthalene,PROPYLNAPH-1,0.397346321
Cycloaromatic-C09,indane,INDANE,0.037303272
Cycloaromatic-C10,tetralin,TETRA,0.167109231
Cycloaromatic-C11,2-methyl tetralin,METHYLTETRA-2,0.383886527
Cycloaromatic-C12,2-ethly tetralin,ETHYLTETRA-2,0.470487331
Cycloaromatic-C13,2-propyl tetralin,PROPYLTETRA-2,0.475804054
Cycloaromatic-C14,2-butyl tetralin,BUTYLTETRA-2,0.289055519
C07-Isoparaffin,2-methyl hexane,C7H16-2,0.010816054
C08-Isoparaffin,2-methyl heptane,C8H18-2,0.2046366
C09-Isoparaffin,2-methyl octane,C9H20-2,1.306819247
C10-Isoparaffin,2-methyl nonane,C10H22-2,6.254544046
C11-Isoparaffin,2-methyl decane,C11H24-2,8.347290213
C12-Isoparaffin,2-methyl undecane,C12H26-2,6.280064982
C13-Isoparaffin,2-methyl dodecane,C13H28-2,5.883941158
C14-Isoparaffin,2-methyl tridecane,C14H30-2,5.327191919
C15-Isoparaffin,2-methyl tetradecane,C15H32-2,3.183676728
C16-Isoparaffin,2-methyl pentadecane,C16H34-2,1.074196985
C17-Isoparaffin,2-methyl hexadecane,C17H36-2,0.291668253
C18-Isoparaffin,2-methyl heptadecane,C18H38-2,0.044339228
C19-Isoparaffin,2-methyl octadecane,C19H40-2,0
C20-Isoparaffin,2-methyl nonadecane,C20H42-2,0
n-C07,n-heptane,NC7H16,0.026471001
n-C08,n-octane,NC8H18,0.378567896
n-C09,n-nonane,NC9H20,1.849315933
n-C10,n-decane,NC10H22,5.651114497
n-C11,n-undecane,NC11H24,5.617499013
n-C12,n-dodecane,NC12H26,4.849494222
n-C13,n-tridecane,NC13H28,3.88941346
n-C14,n-tetradecane,NC14H30,2.70584866
n-C15,n-pentadecane,NC15H32,1.176763184
n-C16,n-hexadecane (cetane),NC16H34,0.333330547
n-C17,n-heptadecane,NC17H36,0.088344843
n-C18,n-octadecane,NC18H38,0
C07-Monocycloparaffin,methyl cyclohexane,C6H11CH3,0.077136106
C08-Monocycloparaffin,ethyl cyclohexane,C6H11C2H5,0.395905261
C09-Monocycloparaffin,propyl cyclohexane,C6H11C3H7,2.052459083
C10-Monocycloparaffin,butyl cyclohexane,C6H11C4H9,4.16184899
C11-Monocycloparaffin,pentyl cyclohexane,C6H11C5H11,4.046496274
C12-Monocycloparaffin,hexyl cyclohexane,C6H11C6H13,3.155585379
C13-Monocycloparaffin,heptyl cyclohexane,C6H11C7H15,3.125128759
C14-Monocycloparaffin,octyl cyclohexane,C6H11C8H17,1.734320799
C15-Monocycloparaffin,nonyl cyclohexane,C6H11C9H19,1.157839457
C16-Monocycloparaffin,decyl cyclohexane,C6H11C10H21,0.16889367
C17-Monocycloparaffin,undecyl cyclohexane,C6H11C11H23,0.031150583
C08-Dicycloparaffin,Octahydropentalene,OHPEN,0.009767699
C09-Dicycloparaffin,Hydrindane,HYDRIND,0.232146673
C10-Dicycloparaffin,Decalin,DECALIN,0.450631891
C11-Dicycloparaffin,2-methyldecalin,METHYLDECALIN-2,0.790849113
C12-Dicycloparaffin,2-ethyldecalin,ETHYLDECALIN-2,0.997193825
C13-Dicycloparaffin,2-propyldecalin,PROPYLDECALIN-2,0.740914494
C14-Dicycloparaffin,2-butyldecalin,BUTYLDECALIN-2,0.681235908
C15-Dicycloparaffin,2-pentyldacalin,PENTYLDECALIN-2,0.125895154
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,TRICYCLO-C10,0
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,TRICYCLO-C11,0.121105243
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,TRICYCLO-C12,0
